Serial_Number,Campaign_Name,Objective,Amount_Spent,Amount_Install,Amount_Purchase,Purchase_Conversion_Value,Amount_Subscribe,Subscribe_Conversion_Value,Reporting_Date,Category
2020061400036,20200608_期權先生_購買_首購銷售_最後衝刺_短線作者受眾,CONVERSIONS,11221,,43.0,89883.0,,,20200614,FB
2020061400037,老簡APP導下載,APP_INSTALLS,973,119.0,2.0,399.0,,,20200614,FB
2020061400038,活動：素人轉職！ 第七屆菁英軟體工程師戰鬥營說明會_大大,EVENT_RESPONSES,1049,,,,,,20200614,FB
2020061400039,0612艾蜜莉APP下載 (Android)_軟體,APP_INSTALLS,2518,243.0,,,1.0,390.0,20200614,FB
2020061400040,0612艾蜜莉APP下載  (iOS)_軟體,APP_INSTALLS,2531,226.0,3.0,5386.0,1.0,390.0,20200614,FB
2020061400041,老簡APP導下載(iOS),APP_INSTALLS,969,67.0,1.0,,,,20200614,FB
2020061500042,期貨電子盤_下載_IOS(舊),APP_INSTALLS,60,3.0,,,,,20200615,FB
2020061500043,權證小哥_講座_轉換次數(購買),CONVERSIONS,4433,,38.0,114602.0,,,20200615,FB
2020061500044,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,2185,127.0,4.0,5068.0,3.0,9270.0,20200615,FB
2020061500045,籌碼K線APP_最多點擊_活動,LINK_CLICKS,1955,56.0,9.0,12199.0,1.0,400.0,20200615,FB
2020061500046,武財神_APP下載_20200221,APP_INSTALLS,855,80.0,,,,,20200615,FB
2020061500047,iCheck APP下載_20200324,APP_INSTALLS,492,36.0,,,,,20200615,FB
2020061500048,籌碼K線_下載_興趣投資受眾,APP_INSTALLS,1642,70.0,,,1.0,410.0,20200615,FB
2020061500049,籌碼K線_下載_相關類似受眾,APP_INSTALLS,1323,63.0,1.0,420.0,1.0,410.0,20200615,FB
2020061500050,股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,45,8.0,,,,,20200615,FB
2020061500051,股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,464,101.0,2.0,3490.0,,,20200615,FB
2020061500052,股市爆料同學會_受眾測試組_20200520,APP_INSTALLS,23,2.0,,,,,20200615,FB
2020061500053,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,1166,68.0,1.0,1799.0,1.0,3590.0,20200615,FB
2020061500054,林恩如_下載_0504建立_軟體,APP_INSTALLS,499,37.0,,,,,20200615,FB
2020061500055,20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,419,24.0,,,,,20200615,FB
2020061500056,20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,713,23.0,,,5.0,,20200615,FB
2020061500057,20200522_林恩如_Like_其他_軟體,PAGE_LIKES,22,,,,,,20200615,FB
2020061500058,大大工程師_第七屆招生_20200529,LINK_CLICKS,1977,,,,,,20200615,FB
2020061500059,20200601_期權先生＿IOS下載＿短線受眾測試,APP_INSTALLS,42,2.0,,,,,20200615,FB
2020061500060,20200601_期權先生＿AOS下載＿短線受眾測試,APP_INSTALLS,593,14.0,,,,,20200615,FB
2020061500061,20200601_期權先生＿IOS下載＿波段受眾測試,APP_INSTALLS,586,20.0,,,,,20200615,FB
2020061500062,權證小哥_軟體_導購,CONVERSIONS,105,,4.0,26814.0,,,20200615,FB
2020061500063,20200606-0619_林恩如_2020期指決勝特訓_購買_講座,LINK_CLICKS,323,,,,,,20200615,FB
2020061500064,股人阿勳_下載_20200605_軟體,APP_INSTALLS,442,27.0,1.0,,,,20200615,FB
2020061500065,股人阿勳_互動_20200605_軟體,PAGE_LIKES,348,,,,,,20200615,FB
2020061500066,20200605_無聊詹_流量_講座,LINK_CLICKS,401,1.0,1.0,,,,20200615,FB
2020061500067,股市爆料同學會_測試專用_20200606(下載),APP_INSTALLS,112,21.0,,,,,20200615,FB
2020061500068,202006005_期權先生＿AOS下載＿短線受眾測試 _6/30前免費下載,APP_INSTALLS,238,8.0,,,,,20200615,FB
2020061500069,20200605_期權先生＿IOS下載＿短線受眾測試_6/30前下載圖片,APP_INSTALLS,29,3.0,,,,,20200615,FB
2020061500070,20200601_期權先生＿AOS下載＿波段受眾測試,APP_INSTALLS,787,29.0,,,,,20200615,FB
2020061500071,20200608_期權先生_購買_首購銷售_圖片_短線作者受眾,CONVERSIONS,408,,,,,,20200615,FB
2020061500072,20200608_期權先生_購買_首購銷售_影片_波段作者受眾,CONVERSIONS,562,,3.0,2647.0,,,20200615,FB
2020061500073,20200608_期權先生_購買_首購銷售_圖片_波段作者受眾,CONVERSIONS,4348,,8.0,28655.0,,,20200615,FB
2020061500074,20200608_期權先生_購買_首購銷售_圖片影音_大眾受眾,CONVERSIONS,565,,2.0,2687.0,,,20200615,FB
2020061500075,20200608_期權先生_購買_首購銷售_影音_大眾受眾,CONVERSIONS,1654,,5.0,6934.0,,,20200615,FB
2020061500076,20200608_期權先生_購買_首購銷售_影片_短線作者受眾,CONVERSIONS,7982,,21.0,42434.0,,,20200615,FB
2020061500077,20200609_期權先生互動＿短線波段大眾,POST_ENGAGEMENT,996,,1.0,8330.0,,,20200615,FB
2020061500078,股市爆料同學會_事件型廣告_20200609,APP_INSTALLS,22,2.0,,,,,20200615,FB
2020061500079,20200608_期權先生_購買_首購銷售_最後衝刺_短線作者受眾,CONVERSIONS,5459,,23.0,48051.0,,,20200615,FB
2020061500080,老簡APP導下載,APP_INSTALLS,988,83.0,2.0,399.0,,,20200615,FB
2020061500081,活動：素人轉職！ 第七屆菁英軟體工程師戰鬥營說明會_大大,EVENT_RESPONSES,1020,,1.0,399.0,,,20200615,FB
2020061500082,0612艾蜜莉APP下載 (Android)_軟體,APP_INSTALLS,2522,191.0,3.0,3598.0,,,20200615,FB
2020061500083,0612艾蜜莉APP下載  (iOS)_軟體,APP_INSTALLS,2541,223.0,1.0,399.0,,,20200615,FB
2020061500084,老簡APP導下載(iOS),APP_INSTALLS,980,36.0,1.0,399.0,,,20200615,FB
2020061500085,20200621_無聊詹_課程_講座,CONVERSIONS,49,,1.0,3868.0,,,20200615,FB
2020061500086,期權先生直播,POST_ENGAGEMENT,43,,,,,,20200615,FB
2020061600087,期貨電子盤_下載_IOS(舊),APP_INSTALLS,57,2.0,,,,,20200616,FB
2020061600088,權證小哥_講座_轉換次數(購買),CONVERSIONS,2792,,25.0,76248.0,,,20200616,FB
2020061600089,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,2217,130.0,2.0,909.0,2.0,840.0,20200616,FB
2020061600090,籌碼K線APP_最多點擊_活動,LINK_CLICKS,1702,32.0,20.0,40458.0,8.0,20850.0,20200616,FB
2020061600091,武財神_APP下載_20200221,APP_INSTALLS,504,37.0,,,,,20200616,FB
2020061600092,iCheck APP下載_20200324,APP_INSTALLS,502,41.0,,,,,20200616,FB
2020061600093,籌碼K線_下載_興趣投資受眾,APP_INSTALLS,2095,105.0,,,2.0,820.0,20200616,FB
2020061600094,籌碼K線_下載_相關類似受眾,APP_INSTALLS,1574,85.0,4.0,12793.0,2.0,820.0,20200616,FB
2020061600095,股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,141,34.0,,,,,20200616,FB
2020061600096,股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,446,109.0,,,,,20200616,FB
2020061600097,股市爆料同學會_受眾測試組_20200520,APP_INSTALLS,52,12.0,,,,,20200616,FB
2020061600098,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,823,41.0,,,1.0,3590.0,20200616,FB
2020061600099,林恩如_下載_0504建立_軟體,APP_INSTALLS,379,23.0,3.0,5386.0,,,20200616,FB
20200616000100,20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,403,18.0,,,,,20200616,FB
20200616000101,20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,730,41.0,,,,,20200616,FB
20200616000102,20200522_林恩如_Like_其他_軟體,PAGE_LIKES,12,,,,,,20200616,FB
20200616000103,大大工程師_第七屆招生_20200529,LINK_CLICKS,2001,,1.0,8888.0,,,20200616,FB
20200616000104,20200601_期權先生＿IOS下載＿短線受眾測試,APP_INSTALLS,19,1.0,,,,,20200616,FB
20200616000105,20200601_期權先生＿AOS下載＿短線受眾測試,APP_INSTALLS,588,20.0,,,,,20200616,FB
20200616000106,20200601_期權先生＿IOS下載＿波段受眾測試,APP_INSTALLS,502,24.0,,,,,20200616,FB
20200616000107,權證小哥_軟體_導購,CONVERSIONS,97,,5.0,32526.0,,,20200616,FB
20200616000108,20200606-0619_林恩如_2020期指決勝特訓_購買_講座,LINK_CLICKS,1710,,7.0,50508.0,,,20200616,FB
20200616000109,股人阿勳_下載_20200605_軟體,APP_INSTALLS,447,22.0,,,,,20200616,FB
20200616000110,股人阿勳_互動_20200605_軟體,PAGE_LIKES,248,,,,,,20200616,FB
20200616000111,20200605_無聊詹_流量_講座,LINK_CLICKS,389,3.0,3.0,8985.0,,,20200616,FB
20200616000112,股市爆料同學會_測試專用_20200606(下載),APP_INSTALLS,192,29.0,,,,,20200616,FB
20200616000113,202006005_期權先生＿AOS下載＿短線受眾測試 _6/30前免費下載,APP_INSTALLS,120,3.0,,,,,20200616,FB
20200616000114,20200605_期權先生＿IOS下載＿短線受眾測試_6/30前下載圖片,APP_INSTALLS,9,,,,,,20200616,FB
20200616000115,20200601_期權先生＿AOS下載＿波段受眾測試,APP_INSTALLS,786,21.0,1.0,399.0,,,20200616,FB
20200616000116,20200608_期權先生_購買_首購銷售_圖片_短線作者受眾,CONVERSIONS,352,,3.0,26164.0,,,20200616,FB
20200616000117,20200608_期權先生_購買_首購銷售_影片_波段作者受眾,CONVERSIONS,512,,3.0,6888.0,,,20200616,FB
20200616000118,20200608_期權先生_購買_首購銷售_圖片_波段作者受眾,CONVERSIONS,1493,,3.0,6787.0,,,20200616,FB
20200616000119,20200608_期權先生_購買_首購銷售_圖片影音_大眾受眾,CONVERSIONS,641,,1.0,399.0,,,20200616,FB
20200616000120,20200608_期權先生_購買_首購銷售_影音_大眾受眾,CONVERSIONS,1492,,4.0,7768.0,,,20200616,FB
20200616000121,20200608_期權先生_購買_首購銷售_影片_短線作者受眾,CONVERSIONS,2481,,14.0,46813.0,,,20200616,FB
20200616000122,20200609_期權先生互動＿短線波段大眾,POST_ENGAGEMENT,996,,2.0,798.0,,,20200616,FB
20200616000123,股市爆料同學會_事件型廣告_20200609,APP_INSTALLS,36,10.0,,,,,20200616,FB
20200616000124,20200608_期權先生_購買_首購銷售_最後衝刺_短線作者受眾,CONVERSIONS,24190,,54.0,144909.0,,,20200616,FB
20200616000125,老簡APP導下載,APP_INSTALLS,986,65.0,,,,,20200616,FB
20200616000126,活動：素人轉職！ 第七屆菁英軟體工程師戰鬥營說明會_大大,EVENT_RESPONSES,985,,1.0,399.0,,,20200616,FB
20200616000127,0612艾蜜莉APP下載 (Android)_軟體,APP_INSTALLS,2665,256.0,1.0,1799.0,,,20200616,FB
20200616000128,0612艾蜜莉APP下載  (iOS)_軟體,APP_INSTALLS,2639,221.0,2.0,7087.0,3.0,1170.0,20200616,FB
20200616000129,老簡APP導下載(iOS),APP_INSTALLS,999,36.0,3.0,1197.0,,,20200616,FB
20200616000130,20200621_無聊詹_課程_講座,CONVERSIONS,4,,,,,,20200616,FB
20200616000131,期權先生直播,POST_ENGAGEMENT,3437,,,,,,20200616,FB
20200617000132,期貨電子盤_下載_IOS(舊),APP_INSTALLS,32,2.0,,,,,20200617,FB
20200617000133,股市爆料同學會_20190617(下載),APP_INSTALLS,788,212.0,1.0,888.0,,,20200617,FB
20200617000134,權證小哥_講座_轉換次數(購買),CONVERSIONS,282,,2.0,7542.0,,,20200617,FB
20200617000135,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,2677,143.0,3.0,9175.0,1.0,410.0,20200617,FB
20200617000136,籌碼K線APP_最多點擊_活動,LINK_CLICKS,1739,38.0,32.0,46189.0,1.0,410.0,20200617,FB
20200617000137,武財神_APP下載_20200221,APP_INSTALLS,406,44.0,,,,,20200617,FB
20200617000138,iCheck APP下載_20200324,APP_INSTALLS,487,35.0,1.0,6681.0,,,20200617,FB
20200617000139,籌碼K線_下載_興趣投資受眾,APP_INSTALLS,2034,104.0,1.0,,2.0,4000.0,20200617,FB
20200617000140,籌碼K線_下載_相關類似受眾,APP_INSTALLS,1856,82.0,3.0,4888.0,3.0,4410.0,20200617,FB
20200617000141,股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,75,14.0,,,,,20200617,FB
20200617000142,股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,400,112.0,,,,,20200617,FB
20200617000143,股市爆料同學會_受眾測試組_20200520,APP_INSTALLS,4,,,,,,20200617,FB
20200617000144,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,939,67.0,,,1.0,410.0,20200617,FB
20200617000145,林恩如_下載_0504建立_軟體,APP_INSTALLS,346,32.0,1.0,399.0,,,20200617,FB
20200617000146,20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,227,13.0,,,,,20200617,FB
20200617000147,20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,653,23.0,,,,,20200617,FB
20200617000148,20200522_林恩如_Like_其他_軟體,PAGE_LIKES,13,,,,,,20200617,FB
20200617000149,大大工程師_第七屆招生_20200529,LINK_CLICKS,1943,,,,,,20200617,FB
20200617000150,20200601_期權先生＿IOS下載＿短線受眾測試,APP_INSTALLS,9,,,,,,20200617,FB
20200617000151,20200601_期權先生＿AOS下載＿短線受眾測試,APP_INSTALLS,622,18.0,,,,,20200617,FB
20200617000152,20200601_期權先生＿IOS下載＿波段受眾測試,APP_INSTALLS,401,21.0,2.0,798.0,,,20200617,FB
20200617000153,權證小哥_軟體_導購,CONVERSIONS,100,,6.0,60560.0,,,20200617,FB
20200617000154,20200606-0619_林恩如_2020期指決勝特訓_購買_講座,LINK_CLICKS,1720,,15.0,103200.0,,,20200617,FB
20200617000155,股人阿勳_下載_20200605_軟體,APP_INSTALLS,318,14.0,1.0,299.0,,,20200617,FB
20200617000156,股人阿勳_互動_20200605_軟體,PAGE_LIKES,198,,,,,,20200617,FB
20200617000157,20200605_無聊詹_流量_講座,LINK_CLICKS,404,2.0,3.0,2597.0,,,20200617,FB
20200617000158,股市爆料同學會_測試專用_20200606(下載),APP_INSTALLS,198,38.0,1.0,590.0,,,20200617,FB
20200617000159,202006005_期權先生＿AOS下載＿短線受眾測試 _6/30前免費下載,APP_INSTALLS,44,,,,,,20200617,FB
20200617000160,20200605_期權先生＿IOS下載＿短線受眾測試_6/30前下載圖片,APP_INSTALLS,6,,2.0,798.0,,,20200617,FB
20200617000161,20200601_期權先生＿AOS下載＿波段受眾測試,APP_INSTALLS,780,32.0,2.0,798.0,,,20200617,FB
20200617000162,20200608_期權先生_購買_首購銷售_圖片_短線作者受眾,CONVERSIONS,214,,3.0,1197.0,,,20200617,FB
20200617000163,20200608_期權先生_購買_首購銷售_影片_波段作者受眾,CONVERSIONS,500,,3.0,2597.0,,,20200617,FB
20200617000164,20200608_期權先生_購買_首購銷售_圖片_波段作者受眾,CONVERSIONS,9109,,58.0,168950.0,,,20200617,FB
20200617000165,20200608_期權先生_購買_首購銷售_圖片影音_大眾受眾,CONVERSIONS,7350,,47.0,95789.0,,,20200617,FB
20200617000166,20200608_期權先生_購買_首購銷售_影音_大眾受眾,CONVERSIONS,1426,,12.0,19257.0,,,20200617,FB
20200617000167,20200608_期權先生_購買_首購銷售_影片_短線作者受眾,CONVERSIONS,3484,,13.0,19584.0,,,20200617,FB
20200617000168,20200609_期權先生互動＿短線波段大眾,POST_ENGAGEMENT,986,,12.0,14255.0,,,20200617,FB
20200617000169,股市爆料同學會_事件型廣告_20200609,APP_INSTALLS,7,2.0,,,,,20200617,FB
20200617000170,20200608_期權先生_購買_首購銷售_最後衝刺_短線作者受眾,CONVERSIONS,14773,,72.0,201785.0,,,20200617,FB
20200617000171,老簡APP導下載,APP_INSTALLS,970,79.0,6.0,5194.0,,,20200617,FB
20200617000172,活動：素人轉職！ 第七屆菁英軟體工程師戰鬥營說明會_大大,EVENT_RESPONSES,1025,,,,,,20200617,FB
20200617000173,0612艾蜜莉APP下載 (Android)_軟體,APP_INSTALLS,2583,210.0,6.0,11586.0,1.0,390.0,20200617,FB
20200617000174,0612艾蜜莉APP下載  (iOS)_軟體,APP_INSTALLS,2575,211.0,3.0,3247.0,1.0,390.0,20200617,FB
20200617000175,老簡APP導下載(iOS),APP_INSTALLS,983,29.0,1.0,399.0,,,20200617,FB
20200617000176,20200621_無聊詹_課程_講座,CONVERSIONS,6,,,,,,20200617,FB
20200617000177,期權先生直播,POST_ENGAGEMENT,1683,,,,,,20200617,FB
20200617000178,股市爆料同學會_影片廣告_20200617(下載),APP_INSTALLS,149,26.0,,,,,20200617,FB
20200617000179,股市爆料同學會_流量廣告_20200617,LINK_CLICKS,20,,,,,,20200617,FB
20200618000180,期貨電子盤_下載_IOS(舊),APP_INSTALLS,30,1.0,,,,,20200618,FB
20200618000181,股市爆料同學會_20190617(下載),APP_INSTALLS,1207,280.0,7.0,27798.0,,,20200618,FB
20200618000182,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,3420,184.0,2.0,,2.0,820.0,20200618,FB
20200618000183,籌碼K線APP_最多點擊_活動,LINK_CLICKS,821,19.0,8.0,13185.0,1.0,3590.0,20200618,FB
20200618000184,武財神_APP下載_20200221,APP_INSTALLS,1255,48.0,,,1.0,90.0,20200618,FB
20200618000185,iCheck APP下載_20200324,APP_INSTALLS,499,29.0,,,,,20200618,FB
20200618000186,籌碼K線_下載_興趣投資受眾,APP_INSTALLS,2019,86.0,,,,,20200618,FB
20200618000187,籌碼K線_下載_相關類似受眾,APP_INSTALLS,1997,98.0,5.0,3074.0,1.0,410.0,20200618,FB
20200618000188,股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,29,14.0,,,,,20200618,FB
20200618000189,股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,294,83.0,,,,,20200618,FB
20200618000190,股市爆料同學會_受眾測試組_20200520,APP_INSTALLS,0,1.0,,,,,20200618,FB
20200618000191,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,1691,117.0,,,1.0,410.0,20200618,FB
20200618000192,林恩如_下載_0504建立_軟體,APP_INSTALLS,380,24.0,2.0,3006.0,,,20200618,FB
20200618000193,20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,137,7.0,,,,,20200618,FB
20200618000194,20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,536,22.0,3.0,10661.0,11.0,,20200618,FB
20200618000195,20200522_林恩如_Like_其他_軟體,PAGE_LIKES,17,,1.0,499.0,,,20200618,FB
20200618000196,大大工程師_第七屆招生_20200529,LINK_CLICKS,2016,,1.0,2607.0,,,20200618,FB
20200618000197,權證小哥_軟體_導購,CONVERSIONS,101,,4.0,2534.0,,,20200618,FB
20200618000198,20200606-0619_林恩如_2020期指決勝特訓_購買_講座,LINK_CLICKS,1718,,19.0,182238.0,,,20200618,FB
20200618000199,股人阿勳_下載_20200605_軟體,APP_INSTALLS,585,30.0,,,,,20200618,FB
20200618000200,股人阿勳_互動_20200605_軟體,PAGE_LIKES,231,,,,,,20200618,FB
20200618000201,20200605_無聊詹_流量_講座,LINK_CLICKS,406,1.0,3.0,798.0,,,20200618,FB
20200618000202,股市爆料同學會_測試專用_20200606(下載),APP_INSTALLS,239,86.0,2.0,888.0,,,20200618,FB
20200618000203,20200605_期權先生＿IOS下載＿短線受眾測試_6/30前下載圖片,APP_INSTALLS,0,,,,,,20200618,FB
20200618000204,20200601_期權先生＿AOS下載＿波段受眾測試,APP_INSTALLS,42,3.0,,,,,20200618,FB
20200618000205,20200609_期權先生互動＿短線波段大眾,POST_ENGAGEMENT,53,,,,,,20200618,FB
20200618000206,股市爆料同學會_事件型廣告_20200609,APP_INSTALLS,1,,,,,,20200618,FB
20200618000207,20200608_期權先生_購買_首購銷售_最後衝刺_短線作者受眾,CONVERSIONS,943,,4.0,5796.0,,,20200618,FB
20200618000208,老簡APP導下載,APP_INSTALLS,989,90.0,2.0,,,,20200618,FB
20200618000209,活動：素人轉職！ 第七屆菁英軟體工程師戰鬥營說明會_大大,EVENT_RESPONSES,988,,3.0,64764.0,,,20200618,FB
20200618000210,0612艾蜜莉APP下載 (Android)_軟體,APP_INSTALLS,2617,191.0,3.0,399.0,,,20200618,FB
20200618000211,0612艾蜜莉APP下載  (iOS)_軟體,APP_INSTALLS,2626,195.0,6.0,9085.0,,,20200618,FB
20200618000212,老簡APP導下載(iOS),APP_INSTALLS,1025,42.0,1.0,399.0,,,20200618,FB
20200618000213,20200621_無聊詹_課程_講座,CONVERSIONS,1161,12.0,17.0,32298.0,2.0,1760.0,20200618,FB
20200618000214,期權先生直播,POST_ENGAGEMENT,80,,,,,,20200618,FB
20200618000215,股市爆料同學會_影片廣告_20200617(下載),APP_INSTALLS,358,64.0,1.0,,,,20200618,FB
20200618000216,股市爆料同學會_流量廣告_20200617,LINK_CLICKS,106,7.0,,,,,20200618,FB
20200619000217,期貨電子盤_下載_IOS(舊),APP_INSTALLS,27,2.0,,,,,20200619,FB
20200619000218,股市爆料同學會_20190617(下載),APP_INSTALLS,1020,208.0,1.0,888.0,,,20200619,FB
20200619000219,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,5468,270.0,8.0,6026.0,1.0,410.0,20200619,FB
20200619000220,籌碼K線APP_最多點擊_活動,LINK_CLICKS,116,3.0,2.0,729.0,2.0,7180.0,20200619,FB
20200619000221,武財神_APP下載_20200221,APP_INSTALLS,449,45.0,,,,,20200619,FB
20200619000222,iCheck APP下載_20200324,APP_INSTALLS,503,37.0,,,,,20200619,FB
20200619000223,籌碼K線_下載_興趣投資受眾,APP_INSTALLS,2114,78.0,1.0,410.0,1.0,3590.0,20200619,FB
20200619000224,籌碼K線_下載_相關類似受眾,APP_INSTALLS,1877,83.0,1.0,,,,20200619,FB
20200619000225,股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,21,5.0,,,,,20200619,FB
20200619000226,股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,301,80.0,,,,,20200619,FB
20200619000227,股市爆料同學會_受眾測試組_20200520,APP_INSTALLS,1,1.0,,,,,20200619,FB
20200619000228,20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,6091,262.0,2.0,1287.0,6.0,7340.0,20200619,FB
20200619000229,林恩如_下載_0504建立_軟體,APP_INSTALLS,379,32.0,3.0,9976.0,,,20200619,FB
20200619000230,20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,225,18.0,,,,,20200619,FB
20200619000231,20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,665,44.0,,,,,20200619,FB
20200619000232,20200522_林恩如_Like_其他_軟體,PAGE_LIKES,860,,1.0,399.0,,,20200619,FB
20200619000233,大大工程師_第七屆招生_20200529,LINK_CLICKS,2014,,2.0,,,,20200619,FB
20200619000234,權證小哥_軟體_導購,CONVERSIONS,98,,8.0,75628.0,,,20200619,FB
20200619000235,20200606-0619_林恩如_2020期指決勝特訓_購買_講座,LINK_CLICKS,1253,,6.0,24742.0,,,20200619,FB
20200619000236,股人阿勳_下載_20200605_軟體,APP_INSTALLS,999,79.0,,,,,20200619,FB
20200619000237,股人阿勳_互動_20200605_軟體,PAGE_LIKES,298,,,,,,20200619,FB
20200619000238,20200605_無聊詹_流量_講座,LINK_CLICKS,394,,,,,,20200619,FB
